timestamp,action,trend,pattern,pattern_type,has_pattern,pattern_matches_trend,entry_price,sl_price,tp_price,exit_price,outcome,outcome_binary,rr_achieved,rsi,ema50_slope,ema200_slope,price_vs_ema50,price_vs_ema200,vol_ratio,bb_width,atr,fib_range
2024-04-20 09:00:00,SHORT,DOWNTREND,NONE,NONE,0,0,63615.01,64964.850711428575,59600.01,64964.850711428575,LOSS,0,-1.0,37.52932252672388,0.09589811785284397,-0.11114802651556177,-0.0010157358263823224,-1.4296219837725996,0.8342423626174108,0.01932026947243063,511.1657142857143,5849.989999999998
2024-04-20 10:00:00,SHORT,DOWNTREND,PINBAR,BULLISH,1,0,63567.28,64937.75642571429,59600.01,64937.75642571429,LOSS,0,-1.0,40.88010618805533,0.05560528620931482,-0.10817075068053628,-0.07306448024336035,-1.4888405704886485,0.5689714866396755,0.019437605428692065,493.1028571428573,5849.989999999998
2024-05-24 15:00:00,LONG,UPTREND,NONE,NONE,0,0,68326.46,66809.73768857143,71979.0,69104.67,WIN,1,0.5130866699435639,58.02051341166541,-0.2044936748903603,-0.027355324536293413,0.07779892270011918,1.0862523266444304,1.2664828736493483,0.022249914696435745,476.7507142857129,5666.8399999999965
2024-05-24 16:00:00,LONG,UPTREND,NONE,NONE,0,0,68394.33,66790.16697428572,71979.0,69116.3,WIN,1,0.4500602422740239,55.98507041767157,-0.13669420449602399,-0.004900476596847447,0.17024697440355357,1.1747169642491209,1.145382873072153,0.024495050166462858,489.797857142856,5666.8399999999965
2024-05-29 01:00:00,LONG,UPTREND,NONE,NONE,0,0,68570.0,67215.9801,70687.56,67215.9801,LOSS,0,-1.0,52.70589790504355,-0.021197805039663287,-0.01412851363685741,0.009264129140396165,0.3065340634809555,0.5573320512127485,0.018172789368178833,527.7300000000012,3409.649999999994
2024-05-31 05:00:00,LONG,UPTREND,NONE,NONE,0,0,68442.72,67347.98166857142,70687.56,67347.98166857142,LOSS,0,-1.0,48.03209799275801,0.06437894880619854,0.026684901881157685,0.21426178409969396,0.24223234365162924,0.5781976686576223,0.021105271655509798,359.4207142857153,3562.9100000000035
2024-05-31 10:00:00,LONG,UPTREND,NONE,NONE,0,0,68333.33,67512.98595428572,70687.56,67512.98595428572,LOSS,0,-1.0,44.90296118447378,-0.032864986508074345,0.00889806730117737,0.08698583137892173,0.08947233404040277,0.9304309310964735,0.019665898496943085,249.41785714285547,3562.9100000000035
2024-05-31 11:00:00,LONG,UPTREND,NONE,NONE,0,0,68349.73,67516.09309714286,70687.56,67516.09309714286,LOSS,0,-1.0,47.52950368934336,-0.02711329785358707,0.007493594124463598,0.10664886222695905,0.11236324803601287,1.0571781836232397,0.019751022532137428,247.3464285714269,3562.9100000000035
2024-06-09 12:00:00,LONG,UPTREND,NONE,NONE,0,0,69712.95,69004.70335142857,71997.02,69387.5,LOSS,0,-0.4595150582871784,68.86260694514385,-0.06939869585591563,-0.03838171808924207,0.08439335871351346,0.12499576245232956,2.933249531024226,0.006295841528715682,120.519285714286,3577.020000000004
2024-06-09 17:00:00,LONG,UPTREND,NONE,NONE,0,0,69660.51,68933.39977999999,71997.02,69408.21,LOSS,0,-0.3469900340556175,67.40064027484985,-0.02606773655529082,-0.019585562143464852,0.03518403121079401,0.05493848364078479,0.7056137423762825,0.008254026839655917,168.0550000000003,3577.020000000004
